ident	name	type	frequency_khz	latitude_deg	longitude_deg
A	Baneasa East	NDB	434	44.51029968	26.13689995
A	Sheremetyevo	NDB	338	55.97999954	37.46170044
A	Kharkiv	NDB	678	49.92430115	36.31969833
A	Zaporizhzhia	NDB	608	47.84700012	35.30279922
A1	Taltheilei Narrows	NDB	264	62.59469986	-111.5189972
A5	Chinchaga	NDB	317	57.54499817	-119.1110001
A9	Liverpool	NDB	330	44.22700119	-64.85849762
AA	Auckland	VOR-DME	114800	-37.00460052	174.8139954
AA	Anaa	NDB	333	-17.35560036	-145.4819946
AA	Accra	NDB	409	5.676169872	-0.1380330026
AA	Aasiaat	NDB	336	68.72319794	-52.78480148
AA	Atambua	NDB	300	-9.074440002	124.9049988
AA	Aliabad	NDB	397	35.63370132	51.4178009
AA	Abemama	NDB	396	0.5	173.8500061
AA	Aioun El Atrouss	NDB	310	16.69210052	-9.600379944
AA	Madrid	NDB	355	40.44820023	-3.538810015
AA	Kenie	NDB	365	47.00930023	-96.81520081
AA	Cedar	NDB	341	33.53300095	-82.61440277
AAA	Abraham	NDB	329	40.16009903	-89.33779907
AAE	Ahmedabad	VOR-DME	113100	23.07220078	72.625
AAF	Apalachicola	NDB	349	29.72330093	-85.02809906
AAL	Aalborg	TACAN	116700	57.10390091	9.992810249
AAL	Aalborg	VOR-DME	116700	57.10369873	9.99557972
AAQ	Araraquara	NDB	205	-21.81299973	-48.13949966
AAR	Arar	VORTAC	113300	30.90800095	41.14220047
AAR	Amritsar	VOR-DME	115500	31.70689964	74.80079651
AAT	Agartala	VOR-DME	116100	23.88960075	91.23970032
AAU	Aurangabad	VOR-DME	116300	19.86470032	75.39409637
AAU	Ashland	NDB	329	40.9632988	-82.25340271
AB	Addis Abeba	NDB	333	8.997369766	38.82020187
AB	Akraberg	NDB	381	61.39530182	-6.681109905
AB	Atbasar	NDB	420	51.88330078	68.40000153
AB	Podkamennaya Tunguska	NDB	342	61.59170151	89.9417038
AB	Abakan	NDB	360	53.69829941	91.34999847
AB	Abqaiq	NDB	290	25.89999962	49.58330154
AB	Alexander Bay	NDB	318	-28.6189003	16.47999954
AB	Putny	NDB	227	31.45610046	-84.27619934
AB	Tomhi	NDB	353	32.2989006	-99.67420197
AB	Reney	NDB	203	45.38600159	-98.32839966
AB	Leehi	NDB	400	40.58580017	-75.54959869
ABA	Aruba	VOR-DME	112500	12.50979996	-69.94069672
ABA	Albany	NDB-DME	240	-34.95220184	117.810997
ABB	Nabb	VORTAC	112400	38.58879852	-85.63600159
ABB	Abbeville	VOR-DME	108450	50.13510132	1.854689956
ABC	Abuja	VOR-DME	116300	9.037799835	7.285099983
ABD	Abadan	VOR-DME	114500	30.38699913	48.21760178
ABD	Abyad	NDB	264	33.33530045	36.42819977
ABG	Ambassador	NDB	404	32.58539963	-95.11299896
ABH	Abha	VORTAC	112900	18.24189949	42.6568985
ABI	Abilene	VORTAC	113700	32.48130035	-99.8635025
ABI	Djibouti/Ambouli	TACAN	114600	11.54950047	43.15459824
ABK	Abakan	VOR-DME	113300	53.74499893	91.38500214
ABL	Ambalema	NDB	300	4.783889771	-74.76750183
ABM	Abumusa Island	NDB	285	25.87779999	55.02289963
ABN	Albenga	NDB	420	44.05580139	8.221110344
ABQ	Albuquerque	VORTAC	113200	35.04380035	-106.8160019
ABR	Aberdeen	VOR-DME	113000	45.41740036	-98.36869812
ABT	Albacete	NDB	321	38.94409943	-1.997670054
ABU	Abu Argub	VOR-DME	115100	32.46279907	13.16940022
ABU	Altenburg	NDB	330	50.99380112	12.52099991
ABV	Alexander Bay	VOR-DME	112100	-28.57069969	16.53389931
AC	Pleasant Lake	NDB	230	43.86090088	-66.04360199
AC	Coffi	NDB	358	31.69400024	-97.20379639
AC	Waivs	NDB	248	41.31110001	-69.98670197
AC	Anloc	NDB	320	10.9392004	107.1880035
ACA	Acapulco	VOR-DME	115900	16.75849915	-99.7539978
ACC	Accra	VOR-DME	113100	5.634109974	-0.1553439945
ACD	Alcobendas	NDB	417	40.58570099	-3.676510096
ACE	Kachemak	NDB	277	59.6413002	-151.5
ACH	Anton Chico	VORTAC	117800	35.11169815	-105.0400009
ACJ	Aracaju	VOR-DME	112000	-10.98400021	-37.07139969
ACJ	Aracaju	NDB	355	-10.98810005	-37.07369995
ACK	Nantucket	VOR-DME	116200	41.28179932	-70.02670288
ACO	Akron	VOR-DME	114400	41.10789871	-81.20149994
ACO	Atico	NDB	202	-16.24360085	-73.57859802
ACQ	Waseca	NDB	371	44.07020187	-93.55239868
ACT	Waco	VORTAC	115300	31.66230011	-97.26899719
ACV	Arcata	VOR-DME	110200	40.98139954	-124.1080017
ACY	Atlantic City	VORTAC	108600	39.45589828	-74.57630157
ACZ	Pendy	NDB	379	34.71630096	-78.00360107
AD	Adelaide	VOR-DME	116400	-34.94689941	138.5240021
AD	Abidjan	VOR-DME	114300	5.282810211	-3.917000055
AD	Bateen	NDB	392	24.42760086	54.45589828
AD	Adelaide (DECOMMISSIONED)	NDB	362	-34.94639969	138.5460052
AD	Rengat	NDB	280	-0.3491609991	102.3359985
AD	Anda	NDB	288	61.82960129	6.115940094
AD	Sheremetyevo	NDB	700	55.98669815	37.50170135
AD	Sochi	NDB	365	43.41500092	39.93170166
